SubjectId,WP_coif1_aah_mean,WP_coif1_aav_mean,WP_coif1_aad_mean,WP_coif1_aad_std,WP_coif1_aha_mean,WP_coif1_ahv_mean,WP_coif1_ahv_std,WP_coif1_ahd_std,WP_coif1_ava_mean,WP_coif1_ada_mean,WP_coif1_adv_std,WP_coif1_add_std,WP_coif1_haa_mean,WP_coif1_hav_mean,WP_coif1_had_std,WP_coif1_hhv_std,WP_coif1_hhd_std,WP_coif1_hva_mean,WP_coif1_hva_std,WP_coif1_hvh_std,WP_coif1_hvv_std,WP_coif1_hvd_std,WP_coif1_hdv_std,WP_coif1_hdd_std,WP_coif1_vaa_mean,WP_coif1_vha_mean,task_1_label,task_2_label
case_00000,0.2516607524578337,0.1477518527875255,0.07749986050266709,0.15778667965409032,0.09676559469198477,0.03905365282559444,0.07898832436350116,0.1141660600154748,0.05974305803560298,0.026682030069683078,0.06014509037344102,0.09000565126404388,0.042598575440260064,0.02072233520310981,0.04798928083370843,0.07149712123264146,0.05574433796204947,0.014387821290359544,0.025883533762145045,0.03289462361229179,0.033569367259904254,0.03662335146423023,0.05241020230562283,0.04699603250462013,0.02263210832819906,0.015160894977324231,0,2
case_00001,0.3339837289764543,0.2368269441505951,0.11008174202220387,0.185870856408446,0.09246975127540175,0.053211739979430205,0.07543807455570697,0.1258836823088765,0.09674103325828137,0.035556341999515476,0.06075598026944259,0.08876401401816722,0.04514379989505429,0.02615837082686983,0.04683687407273543,0.06431184326550927,0.05178955015746977,0.021022613029890936,0.024848880165951624,0.0321801501168875,0.028811622477258155,0.03747894222023887,0.04890642457442386,0.04471166976975666,0.03867552882807145,0.022551050047818388,0,1
case_00002,0.3755678668354704,0.1611194365578082,0.11264538541798352,0.20953564838121286,0.12519567190145348,0.05422253218973522,0.09610802782734457,0.14124764024126174,0.0648496165821043,0.03473773852592604,0.069598642781445,0.09638013299815726,0.0602534654586505,0.027387513926682913,0.05505989182246485,0.08128519831876517,0.06942217524047664,0.02342498717888036,0.04485777487104265,0.04911981536904778,0.042530124423425256,0.058538856273490446,0.05827185632942596,0.05807257320570743,0.02718959674992044,0.018556948582409995,1,3
case_00003,0.3573304260518321,0.19676798851402524,0.11003699018505643,0.19022506844589454,0.11466213780123653,0.051930690895287394,0.08625948197691043,0.1305892073662514,0.07950899773164018,0.03675362438657882,0.06495323646447305,0.09967116022236797,0.05833021214453877,0.027197092383841746,0.042406348286286366,0.06431918523039801,0.054665508787580676,0.02299711923494402,0.033357483275516214,0.03433515554072135,0.034261970663966995,0.037171292548479326,0.0523273704284914,0.05191580207346649,0.030459942683499764,0.019709982825265936,0,1
case_00004,0.3777173551141771,0.2064774297413231,0.13434308571651804,0.26021123891593806,0.14327383473284844,0.053139583831477114,0.09160798387800127,0.14990572917082853,0.061367497647327095,0.02940160057907954,0.060621647923484005,0.11294510832881374,0.05671322548089355,0.02661968099401598,0.05086258013583931,0.06868458095854915,0.06144574079640305,0.015930125871329002,0.023122540911306538,0.028936388925940183,0.02710099374689972,0.04115073142703141,0.06053033863805662,0.047790001978574165,0.026745386531230275,0.012579990494033627,0,1
case_00005,0.30817928354306423,0.15910703813047758,0.09926508126667265,0.1687728715012037,0.1267603385280979,0.04967660949700573,0.09840644701010261,0.13711789597453383,0.08008597372587369,0.03664372114821227,0.09128293972547334,0.09325815024692564,0.03528506066546065,0.02121868617826276,0.05519085625545995,0.09155007626423341,0.06629040889417237,0.017400848428925367,0.02798523950889561,0.04001444710872397,0.039461823387566194,0.05532317382965833,0.0697628594856513,0.05833130063351936,0.02779622873314496,0.01994082786083759,1,3
case_00006,0.2676604135663939,0.2096682647563079,0.10201736193708216,0.1774345460415301,0.08658000143014645,0.040698607253164654,0.06400187148392447,0.11463508351433836,0.08509505488272422,0.03168364974128623,0.06117104459495814,0.09138790421187695,0.028511743763103274,0.018614333294608734,0.041681235344669734,0.04524111934708828,0.042199667706084,0.014444799419909646,0.02465575234070376,0.031044040810533777,0.021956088373899563,0.029611666146582342,0.043241449837954284,0.038720212367871085,0.05106870580009077,0.022328949207057542,0,1
case_00007,0.36406300785480966,0.16144678574582447,0.09416303888229478,0.16355621763004516,0.12211839830152692,0.04769158123180685,0.07567142098164188,0.11211812135578157,0.05313401759763122,0.025007135792270062,0.05396621224343331,0.07793950760480724,0.05381536901364355,0.025182446546909987,0.04417392633325128,0.06137469448035175,0.052521415999350334,0.014994174748462553,0.02276379201763818,0.023327629309588257,0.024753746229047306,0.03442977511322505,0.042956795029482936,0.03776916326255611,0.026769689715587294,0.008808881469918728,0,1
case_00008,0.25666126229753505,0.22545355756445373,0.0955966258241697,0.16621718474644304,0.08155393130803013,0.034274603539018296,0.051887595268824166,0.09094030900588634,0.14116359181762259,0.029648920215516354,0.04607818444750551,0.08015934215175029,0.0359948323153272,0.015392498753744125,0.029194375754386888,0.03267107145289015,0.033943517205502,0.01432528226269385,0.021898545724084027,0.0260227280255503,0.022842374519161057,0.027278093038335213,0.034231337169185576,0.033593168885613346,0.05721381942877871,0.021779697667447494,1,4
case_00009,0.2709285782534278,0.11344921105294224,0.09287932193300344,0.19159475468173198,0.11325753454633519,0.04191246028423852,0.08047911887132896,0.11861902148067693,0.041563704146270516,0.022683384696353733,0.053608410975465724,0.08483564448143428,0.050586189306452034,0.023716757717275872,0.04478785119264584,0.05491344096585562,0.062453848067222595,0.013958337687289244,0.02367135705532431,0.028371986046578642,0.025848221899039157,0.03554493634243252,0.04961952571999576,0.04168531611120092,0.015321415087580755,0.009740924170342592,0,1
