SubjectId,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth
case_00000,222.2149963792335,7266.107623479484,254.0,254.0,-2.2408379831540515,5.972548818725035,0.6772973732721954,0.6660794401829215,0.0,255.0,0.07172053061311127,0.0,254.0,254.0,254.0,254.0
case_00001,203.83051038881464,10410.03862319715,254.0,254.0,-1.5111392556612537,3.256329410457717,0.526640158380809,0.8904869027967511,0.0,255.0,0.07818936144597813,0.0,254.0,254.0,255.0,255.0
case_00002,220.43588123885917,7609.900288445993,254.0,254.0,-2.147971773653567,5.568169003668237,0.6006156391568066,0.7928355784833452,0.0,255.0,0.07229937957895274,0.0,254.0,254.0,255.0,255.0
case_00003,222.28147406974153,7259.114737032168,254.0,254.0,-2.2422423561522518,5.978831069378088,0.6323172234621055,0.7473777794131511,0.0,255.0,0.07169908116368179,0.0,254.0,254.0,254.0,254.0
case_00004,227.34038059826204,6289.209697393002,254.0,254.0,-2.5373592679131534,7.378608268632392,0.6228449616319318,0.7441919558148418,0.0,255.0,0.07010359272105074,1.0,254.0,254.0,255.0,254.0
case_00005,231.14138215797684,5512.267454330245,254.0,254.0,-2.8127088993627525,8.840569722165757,0.6780294776454238,0.6650105655810153,0.0,255.0,0.06895077506985141,254.0,254.0,254.0,254.0,0.0
case_00006,199.5261647727273,11041.11680265932,254.0,254.0,-1.3843496005666,2.8922275470757564,0.5023137364934391,0.9557984358540538,0.0,255.0,0.07987612786855744,0.0,254.0,254.0,255.0,255.0
case_00007,221.15103595699642,7489.232307297539,254.0,254.0,-2.1825928831259276,5.716962703479564,0.5659698782999699,0.8169777721755445,0.0,255.0,0.07206557899013552,0.0,254.0,254.0,255.0,255.0
case_00008,205.91000724153295,10079.638076280444,254.0,254.0,-1.5763806667409146,3.4561265921289106,0.5540876234488354,0.8769635674737519,0.0,255.0,0.07739972264589669,0.0,254.0,254.0,254.0,254.0
case_00009,219.80747173016934,7713.560772177928,254.0,254.0,-2.119307804819915,5.446764519150631,0.6556990412904206,0.7109808616361712,0.0,255.0,0.07250607690931267,0.0,254.0,254.0,254.0,254.0
case_00010,216.18954601158646,8374.695249295373,254.0,254.0,-1.9545098075976977,4.780663746372101,0.588399967446598,0.8197188463511551,0.0,255.0,0.07371946398210708,0.0,254.0,254.0,255.0,255.0
case_00011,207.31766558043674,9870.795682028496,254.0,254.0,-1.6194013510547478,3.5925396580455313,0.47790019877255724,1.0110932935352261,0.0,255.0,0.07687418921049793,0.0,254.0,254.0,255.0,255.0
